Company,Error,URL
Sqill,Invalid news source,https://savingsleague.com/2024/07/23/lisbon-based-sqill-will-get-e2-million-to-streamline-the-inventive-workflow-of-social-media-groups/
Assisterr,Invalid news source,https://cointelegraph.com/press-releases/web3-ai-platform-assisterr-raised-17m-pre-seed-round-to-enable-community-owned-ai
Gnanomat,Invalid news source,https://otp.tools.investis.com/clients/uk/versarien_plc/rns/regulatory-story.aspx?cid=2816&newsid=1843309
Botivo Drinks,Invalid news source,https://www.thegrocer.co.uk/fundraising/botivo-raises-900k-to-scale-0-botanical-drink/693418.article
Enzo,Invalid news source,https://www.startbase.com/news/bei-enzo-fliessen-23-mio-euro/
Generated Health,Invalid news source,https://www.sec.gov/Archives/edgar/data/1988114/000198811424000001/xslFormDX01/primary_doc.xml
Boundless,Invalid news source,https://www.thegrocer.co.uk/fundraising/boundless-bags-15m-investment-to-cement-position-in-gut-health-snacking/693173.article
TRAVERSE,Invalid news source,https://www.prolificnorth.co.uk/news/maven-ups-investment-in-cheshire-software-firm-to-1m/
Another Round,Invalid news source,https://well-nation.co.uk/blog/2024/07/03/former-mma-fighter-launches-ai-powered-personal-training-platform/
Spottitt,Invalid news source,https://spottitt.com/company-news/spottitt-closes-800k-usd-bridge-financing-round/
Helical,Invalid news source,https://www.helical-ai.com/news/helical-raises-2m-eur-bio-foundation-models
Aquark Technologies,Invalid news source,https://news.satnews.com/2024/06/03/generation-space-seraphim-space-announce-mission-13-cohort-launches-new-academy/
VisusNano,Invalid news source,https://sosv.com/company/visusnano-ltd/
XFuel,Invalid news source,https://sosv.com/company/xfuel/
OCTA,Invalid news source,https://www.businesswire.com/news/home/20240514562505/en/500-Global-and-Sanabil-Investments-announce-Batch-7-of-the-Sanabil-500-MENA-Seed-Accelerator-Program
TETMET,Invalid news source,https://seenews.com/news/bulgarias-mfg-invest-to-put-100-000-euro-into-frances-tetmet-1257072
MagicBlock,Invalid news source,https://x.com/jasonrosenthal/status/1772581772384948571?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1772581772384948571%7Ctwgr%5E1ba7ca9647a048a6beb4933ec932c5c94635887f%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.gadgets360.com%2Fcryptocurrency%2Fnews%2Fcrypto-bull-run-web3-funds-startups-accelerator-investment-programmes-mentorship-5351961
Bellevie,Invalid news source,https://www.mcknightsseniorliving.com/home/news/tech-daily-news/smart-glasses-mobility-tools-part-of-dynamic-slate-of-senior-tech-getting-seed-funding/
Burnt Faith,Invalid news source,https://www.thegrocer.co.uk/alcohol/burnt-faith-brandy-seals-supermarket-debut-with-tesco/692322.article
ai|coustics,Invalid news source,https://www.sec.gov/Archives/edgar/data/2007168/000200716824000001/xslFormDX01/primary_doc.xml
FRAHM Jacket,Invalid news source,https://www.crowdcube.com/companies/frahm-jacket
Advanced Blast & Ballistic Systems,Invalid news source,https://www.crowdcube.com/companies/advanced-blast-ballistic-systems-ltd
Zymego,Invalid news source,https://spintopventures.com/spintop-invests-in-groundbreaking-health-tech-startup-zymego/
SidcoDX,Invalid news source,https://latamlist.com/chilean-startup-obralink-secures-500k-from-polpaico-solutions/
Ceres,Invalid news source,https://sifted.eu/articles/photonics-startups-to-watch-2023
Beast,Invalid news source,https://www.crunchbase.com/organization/beast-9e2d/company_financials
Zellar,Invalid news source,https://www.crowdcube.com/companies/zellar/pitches/bgWmwb
Fertility Focus,Invalid news source,https://www.crowdcube.com/companies/vio-healthtech-limited/pitches/leakyl
Zzish,Invalid news source,https://www.crowdcube.com/companies/zzish-1/pitches/qaEkWq?country=GB
Magway,Invalid news source,https://www.crowdcube.com/companies/magway/pitches/bXEk1q
The Heat Vault,Invalid news source,https://www.crowdcube.com/companies/the-heat-vault-company
Bagel Corner,Invalid news source,https://www.crowdcube.com/investment/bagel-corner-30291
GridDuck,Invalid news source,https://turquoise.eu/low-carbon-innovation-fund-2-invests-in-gridduck/
Flown,Invalid news source,https://www.blackgreencapital.com/companies/
FOUND,Invalid news source,https://26222285.hs-sites-eu1.com/found-raises-chf2.2m
CannaSoul Analytics,Invalid news source,https://jewishbusinessnews.com/2023/11/10/returngo-and-cannasoul-analytics-make-small-raises/
Cornish Tin,Invalid news source,https://www.crowdcube.com/companies/cornish-tin-limited/pitches/by9wYb
Caldera,Invalid news source,https://www.crowdcube.com/companies/caldera
Glassette,Invalid news source,https://www.crowdcube.com/companies/glassette
Cavex,Invalid news source,https://e3-cap.com/carbon-value-exchange-cavex-secures-us-6-million-led-by-e3-capital-to-scale-digital-carbon-financing-platform/
GPA INNOVA,Invalid news source,https://www.webcapitalriesgo.com/gpainnova-apoyada-por-accio-recibe-37-millones-de-euros-de-los-fondos-next-generation-para-proyectos-de-ia-digitalizacion-industrial-y-sostenibilidad/
SquareBook,Invalid news source,https://www.seedrs.com/squarebook1
MDF Recovery,Invalid news source,"https://www.mrw.co.uk/news/mdf-recycling-firm-secures-1-7m-in-venture-capital-06-10-2023/#:~:text=One%20Planet%20Capital%20has%20invested,used%20for%20insulation%20and%20packaging."
Stablepharma,Invalid news source,https://www.crowdcube.com/companies/stablepharma-limited
Plot.ai,Invalid news source,https://www.marketer.tech/news/strawberry-equities-new-strategic-owner-of-plotai
Rematch,Invalid news source,https://www.crowdcube.com/investment/rematch-30251
Toraphene,Invalid news source,https://www.crowdcube.com/companies/toraphene/pitches/b65d2Z
Internxt,Invalid news source,https://www.crowdcube.com/companies/internxt/pitches/l8aE5Z
Flexi-Hex,Invalid news source,https://www.crowdcube.com/companies/investatflexi-hex-com/pitches/lO0EXZ
Vitadio,Invalid news source,https://ain.capital/2023/10/24/vitadio-secures-3m-digital-therapeutics/
Halo X Ray Technologies,Invalid news source,https://www.asiapacificsecuritymagazine.com/halo-x-ray-secures-investment/
Mao Lac,Invalid news source,https://www.webcapitalriesgo.com/pascual-innoventures-invierte-15m-en-las-startups-novo-dairy-zero-cow-factory-ergo-bioscience-y-maolac/
